genome_id	total_bp	scaffold_count	N50	min_scaffold_len	avg_scaffold_len	max_scaffold_len	gc_pct	soft_masked_pct	repeat_retroelements_pct	repeat_dna_transposons_pct	repeat_rolling_circles_pct	repeat_unclassified_pct	repeat_total_interspersed_pct	repeat_small_rna_pct	repeat_satellites_pct	repeat_simple_repeats_pct	repeat_low_complexity_pct	genes	average_gene_length	transcripts_per_gene	average_transcript_length	exons_per_transcript	average_exon_length	transcripts_total	single_exon_transcripts	multi_exon_transcripts	introns_total	avg_introns_per_transcript	avg_intron_length	median_intron_length	min_intron_length	max_intron_length	busco_lineage	busco_mode	busco_n	busco_complete_pct	busco_single_pct	busco_duplicated_pct	busco_fragmented_pct	busco_missing_pct	omark_clade	omark_conserved_hogs	omark_single_pct	omark_duplicated_pct	omark_dup_unexpected_pct	omark_dup_expected_pct	omark_missing_pct	omark_consistent_pct	omark_inconsistent_pct	omark_contamination_pct	omark_unknown_pct	eggnog_total_queries	eggnog_annotated	eggnog_annotated_pct	eggnog_with_go	eggnog_with_go_pct	eggnog_with_kegg_ko	eggnog_with_kegg_ko_pct	eggnog_with_cog	eggnog_with_cog_pct	eggnog_with_pfam	eggnog_with_pfam_pct	iprscan_total_proteins	iprscan_proteins_with_domain	iprscan_proteins_with_domain_pct	iprscan_proteins_with_go	iprscan_proteins_with_go_pct
GCA_014634225.1	438047505	1010	3033871	602	433710.4	11713616	36.40	49.0857	13.19	4.34	0.28	27.07	44.6	0.36	0.03	0.66	0.1	34331	4875	1.135649995630771	1239	5.807376628706269	213	38988	10143	28845	187430	4.8074	803.447	541.0	24	18734	cnidaria_odb12	proteins	3203	87.9	78.9	9.0	8.1	4.0	Cnidaria	4117	81.81	12.65	10.98	1.68	5.54	54.45	9.51	0.00	36.04	29038	29038	100.0	12865	44.3	14402	49.6	24536	84.5	24423	84.11	32108	32108	100.0	14557	45.34
GCA_014634245.1	652738455	4925	898511	504	132535.7	4377451	36.38	54.0920	15.75	3.62	0.23	29.38	48.75	0.58	0.0	0.69	0.06	27389	6927	1.1484902698163497	1207	5.621248728382502	214	31456	11223	20233	145366	4.6212	1461.148	874.0	20	353999	cnidaria_odb12	proteins	3203	83.6	68.7	14.9	4.7	11.6	Cnidaria	4117	80.18	9.42	7.55	1.87	10.40	56.63	8.86	0.00	34.50	23869	23869	100.0	11910	49.9	12987	54.41	20969	87.85	20607	86.33	26369	26369	100.0	13155	49.89
GCA_014634505.1	643322625	5162	1132343	492	124626.6	4936523	35.97	54.0045	16.11	3.52	0.18	28.52	48.15	0.69	0.02	0.69	0.06	26711	6635	1.145969825165662	1176	5.402842208428618	217	30610	11031	19579	134771	4.4028	1453.0698	863	21	212782	cnidaria_odb12	proteins	3203	78.4	64.1	14.3	6.4	15.2	Cnidaria	4117	78.50	9.47	7.68	1.80	12.02	56.64	8.77	0.00	34.59	23223	23223	100.0	11581	49.87	12670	54.56	20364	87.69	20043	86.31	25525	25525	100.0	12528	49.08
GCA_014634525.1	392938768	5816	657172	501	67561.7	3260691	36.54	45.0223	10.35	3.75	0.25	26.98	41.07	0.52	0.01	0.67	0.1	20887	5136	1.1492315794513335	1313	6.325154140976504	207	24004	7065	16939	127825	5.3252	808.5832	557	20	105420	cnidaria_odb12	proteins	3203	84.8	70.3	14.5	4.3	10.8	Cnidaria	4117	80.01	8.91	7.07	1.85	11.08	65.48	7.91	0.00	26.61	19334	19334	100.0	10669	55.18	11215	58.01	17496	90.49	17147	88.69	21070	21070	100.0	11426	54.23
GCA_014634605.1	442824714	6979	751376	502	63451.0	3757408	35.43	48.0165	12.1	4.13	0.31	26.22	42.45	0.29	0.01	0.64	0.1	34603	4739	1.1424731959656678	1227	5.88176966078972	208	39533	10389	29144	192991	4.8818	772.5369	531	34	16221	cnidaria_odb12	proteins	3203	88.2	78.1	10.1	6.7	5.1	Cnidaria	4117	78.84	15.33	13.63	1.70	5.83	54.56	9.60	0.00	35.84	29182	29182	100.0	13434	46.04	14810	50.75	25025	85.75	24867	85.21	32751	32751	100.0	14905	45.51
GCA_016490735.1	984430632	2368	766649	13226	415722.4	4615051	39.56	61.0963	20.24	6.41	1.43	31.65	58.29	0.86	0.05	1.16	0.1	36424	7509	1.1365308587744345	1213	5.496002125757905	220	41397	14478	26919	186121	4.496	1585.4298	742	20	368291	cnidaria_odb12	proteins	3203	90.2	73.7	16.5	3.4	6.4	Cnidaria	4117	81.32	12.48	9.59	2.89	6.19	57.48	8.74	0.00	33.78	31300	31300	100.0	14607	46.67	16651	53.2	27146	86.73	26474	84.58	34964	34964	100.0	17378	49.7
GCA_019787425.1	1096359891	56369	32425	1000	19449.7	325729	39.22	58.5006	13.07	5.33	0.27	38.21	56.62	0.63	0.35	0.99	0.08	32193	5248	1.1431056440841176	1049	5.321467391304348	197	36800	7716	29084	159030	4.3215	1053.2988	638.0	20	52762	cnidaria_odb12	proteins	3203	60.3	44.3	15.9	16.2	23.5	Cnidaria	4117	52.39	36.07	32.69	3.38	11.54	68.76	6.54	0.00	24.69	28933	28933	100.0	16933	58.52	18258	63.1	26680	92.21	26055	90.05	32187	32187	100.0	16648	51.72
GCA_022179025.1	576510620	4983	554882	515	115695.5	2514750	35.34	46.8163	7.32	2.77	0.1	31.22	41.3	0.27	0.02	0.74	0.1	30286	5933	1.1809747077857755	1337	5.960019011938379	224	35767	11166	24601	177405	4.96	1102.4678	689	20	335060	cnidaria_odb12	proteins	3203	84.3	66.8	17.5	5.9	9.8	Cnidaria	4117	78.63	12.65	10.30	2.36	8.72	63.01	8.06	0.00	28.93	27958	27958	100.0	14498	51.86	16116	57.64	25518	91.27	24808	88.73	30945	30945	100.0	16621	53.71
GCA_022457155.1	878658226	1623	1308184	669	541379.1	5056015	38.78	62.0454	14.25	6.99	0.58	38.92	60.15	0.4	0.04	1.07	0.09	48768	5610	1.0981791338582678	1213	4.938718350885055	245	53556	22327	31229	210942	3.9387	1219.7547	768.0	22	73145	cnidaria_odb12	proteins	3203	87.5	73.0	14.5	7.9	4.6	Cnidaria	4117	77.34	18.02	14.87	3.16	4.64	51.79	10.17	0.00	38.04	36513	36513	100.0	15921	43.6	18801	51.49	30672	84.0	30284	82.94	44979	44979	100.0	19387	43.1
GCA_022496165.2	651363123	38168	28947999	926	17065.7	51909687	36.82	56.9117	12.62	6.64	0.38	33.14	52.4	0.38	0.06	0.62	0.07	26237	6968	1.1398406830049168	1250	5.9179428877148395	211	29906	8883	21023	147076	4.9179	1302.6083	662.0	21	363371	cnidaria_odb12	proteins	3203	80.9	68.5	12.4	7.1	12.0	Cnidaria	4117	79.01	13.16	9.72	3.45	7.82	64.77	6.97	0.00	28.26	23157	23157	100.0	12415	53.61	13772	59.47	21016	90.75	20523	88.63	25776	25776	100.0	13875	53.83
GCA_023091755.1	514221667	18549	47391	587	27722.3	366074	39.47	53.4690	15.83	3.37	0.18	32.99	52.19	1.08	0.03	0.87	0.07	43280	4851	1.1333410351201478	1031	4.557766406393346	226	49051	15740	33311	174512	3.5578	1101.2716	746.0	28	17894	cnidaria_odb12	proteins	3203	73.5	64.9	8.6	16.9	9.7	Cnidaria	4117	75.18	18.68	16.74	1.94	6.15	49.54	10.65	0.00	39.82	35295	35295	100.0	14868	42.12	17030	48.25	29468	83.49	29588	83.83	39235	39235	100.0	16154	41.17
GCA_024195265.1	627238274	22	48620881	21197	28510830.6	62021193	38.90	59.1371	12.36	8.62	0.3	36.58	57.56	0.31	0.01	1.11	0.1	30438	8278	1.1461331230698468	1470	6.543140514819698	224	34886	11423	23463	193378	5.5431	1426.7984	796.0	20	311713	cnidaria_odb12	proteins	3203	93.4	77.8	15.6	1.0	5.6	Cnidaria	4117	85.35	8.89	5.85	3.04	5.76	62.09	8.38	0.00	29.52	27182	27182	100.0	13244	48.72	15069	55.44	23953	88.12	23373	85.99	30478	30478	100.0	15852	52.01
GCA_029204205.1	1112331071	8613	750778	191	129145.6	10677103	39.49	56.8597	9.69	4.75	0.32	40.09	54.54	0.32	0.03	1.53	0.12	55642	4951	1.1340893569605695	1019	5.153542620794574	197	63103	18046	45057	262101	4.1535	1045.6852	625	20	333063	cnidaria_odb12	proteins	3203	68.2	3.2	65.1	15.8	16.0	Cnidaria	4117	19.75	68.76	65.34	3.42	11.49	64.58	6.83	0.00	28.59	47514	47514	100.0	25605	53.89	28184	59.32	43304	91.14	41994	88.38	53581	53581	100.0	26893	50.19
GCA_036669915.2	353416094	52	25701147	1696	6796463.3	36597280	37.93	37.4639	7.19	2.9	0.38	26.01	36.1	0.55	0.04	0.7	0.14	26985	5391	1.1646840837502317	1542	7.5223201501797705	205	31429	7753	23676	204990	6.5223	684.4694	468.0	20	201644	cnidaria_odb12	proteins	3203	95.7	80.0	15.7	1.3	2.9	Cnidaria	4117	85.21	12.29	5.15	7.14	2.50	72.47	5.59	0.00	21.93	25455	25455	100.0	13503	53.05	14960	58.77	23657	92.94	22789	89.53	27880	27880	100.0	16076	57.66
GCA_036669925.2	809264945	442	54133718	1037	1830916.2	76566441	39.45	57.1126	21.09	4.7	0.39	29.6	55.39	0.66	0.04	0.79	0.07	36807	7692	1.1448909174885211	1239	5.647911722828666	219	42140	15612	26528	195863	4.6479	1576.8642	881	20	419606	cnidaria_odb12	proteins	3203	95.3	75.1	20.2	2.0	2.7	Cnidaria	4117	83.22	12.63	10.47	2.16	4.15	53.59	9.32	0.00	37.09	31325	31325	100.0	14254	45.5	16087	51.36	26658	85.1	26394	84.26	34786	34786	100.0	16600	47.72
GCA_036669935.2	1524838750	480	53003397	1369	3176747.4	74204639	39.50	56.2541	21.09	4.43	0.25	29.0	54.52	1.54	0.12	0.8	0.07	70500	7672	1.1290780141843972	1275	5.759912060301508	221	79600	28989	50611	378889	4.7599	1521.6014	873	20	390959	cnidaria_odb12	proteins	3203	97.6	1.0	96.6	1.1	1.3	Cnidaria	4117	20.79	75.76	73.67	2.09	3.45	54.66	9.55	0.00	35.79	59485	59485	100.0	27022	45.43	30498	51.27	50496	84.89	49964	83.99	66319	66319	100.0	31783	47.92
GCA_037127295.1	495621216	33983	1378908	818	14584.4	11323911	37.13	50.8500	13.23	4.46	0.43	29.38	47.07	0.59	0.03	0.67	0.1	25065	5116	1.1676840215439857	1254	6.173602569359027	203	29268	8130	21138	151421	5.1736	879.5226	559	20	199758	cnidaria_odb12	proteins	3203	82.8	64.0	18.8	6.8	10.4	Cnidaria	4117	73.40	16.32	14.60	1.72	10.27	63.65	7.74	0.00	28.61	23052	23052	100.0	12863	55.8	13653	59.23	21140	91.71	20576	89.26	25414	25414	100.0	13563	53.37
GCA_040938025.2	626672701	1883	807480	487	332805.5	5540956	39.06	53.4135	10.41	4.72	0.34	36.61	51.74	0.21	0.02	1.17	0.13	45730	5173	1.1333479116553684	1280	5.385988268889403	237	51828	14827	37001	227317	4.386	947.3639	653	27	23970	cnidaria_odb12	proteins	3203	79.1	62.7	16.4	4.6	16.3	Cnidaria	4117	64.12	21.20	19.16	2.04	14.67	55.47	9.97	0.00	34.56	38226	38226	100.0	16397	42.89	19072	49.89	32572	85.21	32109	84.0	43162	43162	100.0	19852	45.99
GCA_042242905.1	493920580	58	33295526	3889	8515872.1	40246328	39.49	50.5867	10.06	4.56	0.4	34.14	48.76	0.48	0.13	1.07	0.11	28646	6895	1.1661663059414926	1518	7.156349158833742	212	33406	10014	23392	205659	6.1563	1001.349	578	22	347685	cnidaria_odb12	proteins	3203	98.9	83.3	15.6	0.6	0.5	Cnidaria	4117	89.65	8.43	4.59	3.84	1.92	66.49	7.54	0.00	25.97	26495	26495	100.0	13814	52.14	15289	57.71	24035	90.72	23409	88.35	29295	29295	100.0	16094	54.94
GCA_042850425.1	434176681	206	5180971	1726	2107653.8	16539788	39.59	49.0718	13.78	5.39	1.43	27.08	46.24	0.9	0.06	1.09	0.1	24375	7741	1.1747692307692308	1582	7.642325825039287	207	28635	7682	20953	190203	6.6423	1068.0116	606	20	446786	cnidaria_odb12	proteins	3203	98.7	83.3	15.4	0.5	0.8	Cnidaria	4117	90.45	6.51	3.69	2.82	3.04	66.66	7.67	0.00	25.67	23076	23076	100.0	12133	52.58	13102	56.78	20676	89.6	20216	87.61	25595	25595	100.0	13956	54.53
GCA_043250805.1	398959814	175	4902466	15254	2279770.4	14745123	38.87	45.3683	10.74	5.82	0.55	27.1	43.66	0.7	0.05	0.9	0.09	25718	6797	1.159071467454701	1558	7.459290818209266	208	29809	8346	21463	192545	6.4593	932.9526	550	21	344658	cnidaria_odb12	proteins	3203	98.8	85.2	13.5	0.4	0.8	Cnidaria	4117	89.87	7.82	4.10	3.72	2.31	68.29	7.29	0.00	24.42	23778	23778	100.0	12667	53.27	13970	58.75	21694	91.24	21039	88.48	26621	26621	100.0	14921	56.05
GCA_043882275.1	1154099581	7188	51879999	2720	160559.2	89833937	41.74	46.5071	17.61	3.26	0.24	24.18	45.04	0.61	0.19	0.79	0.08	40747	5107	1.1099222028615603	1174	4.475147039313669	262	45226	21053	24173	157167	3.4751	1279.6979	815	20	105856	cnidaria_odb12	proteins	3203	87.9	73.7	14.2	3.7	8.4	Cnidaria	4117	76.80	13.38	11.39	1.99	9.81	49.61	10.04	2.69	37.66	33767	33767	100.0	13777	40.8	16345	48.41	28128	83.3	28201	83.52	37140	37140	100.0	16940	45.61
GCA_044231415.1	518313916	174	17861421	6597	2978815.6	45111900	39.05	56.8110	15.27	4.52	0.47	34.03	53.82	2.32	0.01	0.64	0.09	28432	5791	1.166467360720315	1391	6.718046132971506	207	33165	10403	22762	189639	5.718	886.5121	561	21	235345	cnidaria_odb12	proteins	3203	99.0	81.8	17.2	0.5	0.6	Cnidaria	4117	88.88	7.36	5.44	1.92	3.76	59.01	8.90	0.00	32.09	25536	25536	100.0	12657	49.57	13663	53.5	22239	87.09	21961	86.0	28241	28241	100.0	14626	51.79
GCA_044509875.1	741806509	695	46255594	4999	1067347.5	63507380	38.99	54.6992	11.15	5.51	0.22	35.74	52.4	0.97	0.0	1.33	0.12	34487	6409	1.1370661408646736	1380	6.034426480338655	228	39214	13401	25813	197420	5.0344	1130.1036	730.0	21	411956	cnidaria_odb12	proteins	3203	97.7	80.9	16.8	0.7	1.6	Cnidaria	4117	84.89	11.61	8.36	3.25	3.50	62.17	9.04	0.00	28.79	30698	30698	100.0	14611	47.6	16460	53.62	27078	88.21	26215	85.4	34183	34183	100.0	17901	52.37
GCA_046129775.1	602349429	257	4512547	11926	2343772.1	13837976	39.78	58.4836	11.9	9.94	0.37	35.02	56.85	0.32	0.03	1.05	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA
GCA_047906015.2	457591908	465	31044737	206	984068.6	58409227	38.50	46.5035	8.22	3.92	0.15	32.96	45.09	0.49	0.14	0.97	0.12	26951	6282	1.1418129197432376	1393	6.418516231761609	217	30773	8774	21999	166744	5.4185	1018.4268	624.0	20	232254	cnidaria_odb12	proteins	3203	88.3	74.5	13.8	2.9	8.9	Cnidaria	4117	81.39	10.23	6.27	3.96	8.38	68.85	7.65	0.00	23.49	24653	24653	100.0	12911	52.37	14555	59.04	22735	92.22	21920	88.91	27416	27416	100.0	15068	54.96
GCA_048544155.1	496812990	633	2914656	4231	784854.6	11823877	39.01	54.3344	16.4	5.05	0.31	31.13	52.58	0.63	0.42	0.72	0.1	28510	5979	1.1668186601192565	1436	6.828954488065893	210	33266	10808	22458	193906	5.829	902.7208	564.0	21	406495	cnidaria_odb12	proteins	3203	97.7	81.4	16.3	0.6	1.7	Cnidaria	4117	87.54	7.97	6.10	1.87	4.49	60.43	8.86	0.00	30.71	26080	26080	100.0	12867	49.34	13955	53.51	22994	88.17	22567	86.53	28543	28543	100.0	14828	51.95
GCA_052402645.1	853919719	609	2890743	14488	1402167.0	11240601	38.35	61.9694	12.42	13.2	0.19	34.71	60.33	0.22	0.05	1.26	0.12	37019	6988	1.1347686323239417	1395	5.990311369262997	232	42008	14695	27313	209633	4.9903	1274.7396	617	21	272584	cnidaria_odb12	proteins	3203	97.4	82.8	14.6	1.2	1.4	Cnidaria	4117	87.59	9.98	6.00	3.98	2.43	63.72	8.57	0.00	27.71	33112	33112	100.0	15384	46.46	17823	53.83	29334	88.59	28473	85.99	36757	36757	100.0	19089	51.93
GCA_052425735.1	529418093	1951	34344248	512	271357.3	64437903	38.61	48.0341	8.24	5.25	0.28	32.62	46.1	0.61	0.24	1.12	0.14	31136	6772	1.1470966084275436	1414	6.614178519431067	213	35716	10166	25550	200516	5.6142	1075.8871	628.0	20	495691	cnidaria_odb12	proteins	3203	94.7	79.1	15.6	2.2	3.1	Cnidaria	4117	84.24	12.46	8.43	4.03	3.30	69.37	7.60	0.00	23.03	28718	28718	100.0	14648	51.01	16715	58.2	26398	91.92	25346	88.26	31855	31855	100.0	17428	54.71
GCA_054491535.1	682844897	1024	5578747	16538	666840.7	21624633	40.95	66.8364	11.09	7.55	0.72	36.38	55.02	4.4	6.68	1.32	0.25	41605	5640	1.0996755197692585	1287	5.18796992481203	248	45752	14985	30767	191608	4.188	1098.5924	762.5	30	27832	cnidaria_odb12	proteins	3203	91.7	85.5	6.2	5.1	3.2	Cnidaria	4117	82.66	12.90	9.76	3.13	4.44	50.98	10.79	0.00	38.23	31704	31704	100.0	13255	41.81	15552	49.05	26411	83.3	26430	83.36	37773	37773	100.0	16422	43.48
GCA_942486025.1	603805388	8186	171385	2001	73760.7	1802771	36.38	46.1824	7.7	2.87	0.08	31.3	41.88	0.2	0.0	0.95	0.14	27072	6384	1.2109559692671394	1356	6.613427691181405	205	32783	8218	24565	184025	5.6134	1070.6002	697	22	103751	cnidaria_odb12	proteins	3203	88.9	64.5	24.4	3.4	7.6	Cnidaria	4117	72.92	19.26	16.86	2.40	7.82	68.09	7.27	0.00	24.64	26614	26614	100.0	15221	57.19	16419	61.69	24705	92.83	24004	90.19	29303	29303	100.0	16561	56.52
GCA_942486025_1	603805388	8186	171385	2001	73760.7	1802771	36.38	46.1824	7.7	2.87	0.08	31.3	41.88	0.2	0.0	0.95	0.14	27072	6384	1.2109559692671394	1356	6.613427691181405	205	32783	8218	24565	184025	5.6134	1070.6002	697	22	103751	cnidaria_odb12	proteins	3203	88.9	64.5	24.4	3.4	7.6	Cnidaria	4117	72.92	19.26	16.86	2.40	7.82	68.09	7.27	0.00	24.64	26614	26614	100.0	15221	57.19	16419	61.69	24705	92.83	24004	90.19	29303	29303	100.0	16561	56.52
GCA_942486045.1	347233126	252	4753879	2840	1377909.2	11895822	37.99	36.4407	6.9	3.01	0.36	25.14	35.05	0.56	0.03	0.72	0.14	25390	4825	1.1528554549035053	1421	7.104232858460592	200	29271	7836	21435	178677	6.1042	620.8487	466	20	100945	cnidaria_odb12	proteins	3203	96.9	83.5	13.5	1.3	1.7	Cnidaria	4117	85.30	12.05	4.64	7.41	2.65	71.96	4.94	0.00	23.10	23483	23483	100.0	12866	54.79	14150	60.26	21821	92.92	21075	89.75	25899	25899	100.0	14859	57.37
GCA_947652115.1	368009085	135	27335774	3000	2725993.2	46766401	39.73	48.7413	11.39	5.88	0.48	29.55	46.99	0.55	0.03	1.0	0.09	31382	5508	1.1091389968771908	1396	6.021892148131123	231	34807	10363	24444	174797	5.0219	863.7464	592	30	33856	cnidaria_odb12	proteins	3203	89.6	83.0	6.6	6.0	4.3	Cnidaria	4117	83.65	11.95	8.14	3.81	4.40	61.27	9.35	0.00	29.38	26399	26399	100.0	12163	46.07	13634	51.65	22574	85.51	22492	85.2	30167	30167	100.0	14342	47.54
GCA_948470475.1	416866986	178	33853504	1000	2341949.4	44590768	39.80	48.0881	11.97	4.86	0.35	29.54	46.51	0.28	0.19	0.87	0.1	26121	6465	1.1549328126794534	1378	6.4774927075046405	212	30168	9365	20803	165245	5.4775	1053.8576	600	20	385635	cnidaria_odb12	proteins	3203	93.7	78.4	15.3	0.9	5.4	Cnidaria	4117	86.64	6.51	3.76	2.74	6.85	61.61	8.21	0.00	30.18	23394	23394	100.0	11809	50.48	12941	55.32	20670	88.36	20191	86.31	26101	26101	100.0	13724	52.58
GCA_949126865.1	689329058	133	47608193	7862	5182925.2	67259869	39.62	57.6138	18.2	4.51	0.26	33.21	56.06	0.64	0.03	0.9	0.07	33201	8344	1.140628294328484	1344	6.095220491153948	220	37870	13460	24410	192956	5.0952	1586.1594	877.0	21	318677	cnidaria_odb12	proteins	3203	98.1	82.0	16.1	0.9	1.0	Cnidaria	4117	89.46	6.97	4.81	2.16	3.57	54.20	9.52	0.00	36.28	28205	28205	100.0	12977	46.01	14543	51.56	23945	84.9	23653	83.86	31414	31414	100.0	15065	47.96
